station_id,station_code,station_capacity
1,KON 1001,12
2,KON 1002,12
3,KON 1006,12
4,KON 1011,18
5,KON 1015,12
6,KON 1016,12
7,KON 1017,12
8,KON 1019,12
9,KON 1023,12
10,KON 1024,6
11,KON 1026,18
12,KON 1027,18
13,KON 1030,12
14,KON 1031,12
15,KON 1035,24
16,KON 1036,12
17,KON 1037,12
18,KON 1039,24
19,KON 1040,12
20,KON 1042,12
21,KON 1044,12
22,KON 1045,12
23,KON 1048,12
24,KON 1049,6
25,KON 1051,12
26,KON 1053,12
27,KON 1056,6
28,KON 1062,12
29,KON 1063,6
30,KON 1065,6
31,KON 1067,12
32,KON 1068,12
33,KON 1070,12
34,KON 1071,12
35,KON 1075,6
36,KON 1079,12
37,KON 1082,12
38,KON 1083,18
39,KON 1084,12
40,KON 1086,18
41,KON 1087,30
42,KON 1088,6
43,KON 1089,18
44,KON 1091,12
45,KON 1092,12
46,KON 1093,6
47,KON 1094,12
48,KON 1095,30
49,KON 1096,24
50,KON 1097,12
51,KON 1098,18
52,KON 1099,12
53,KON 1100,12
54,KON 1101,6
55,KON 1102,12
56,KON 1103,18
57,KON 1104,12
58,KON 1105,12
59,KON 1106,12
60,KON 1004,12
61,KON 1005,18
62,KON 1014,12
63,KON 1046,12
64,KON 1047,18
65,KON 1054,18
66,KON 1058,6
67,KON 1066,12
68,KON 1073,12
69,KON 2000,6
70,KON 2001,18
71,KON 2002,12
72,KON 2003,12
73,KON 2004,6
74,KON 2006,12
75,KON 2007,12
76,KON 2008,12
77,KON 2010,12
78,KON 2011,12
79,KON 2012,12
80,KON 2013,12
81,KON 2014,12
82,KON 2015,12
83,KON 2016,12
84,KON 2017,12
85,KON 2018,18
86,KON 2019,12
87,KON 2020,12
88,KON 2022,12
89,KON 2023,12
90,KON 2024,12
91,KON 2025,12
92,KON 2026,12
93,KON 2027,12
94,KON 2028,12
95,KON 2029,12
96,KON 2030,12
97,KON 2031,12
98,KON 2032,6
99,KON 2033,12
100,KON 2034,12
101,KON 2035,12
102,KON 2036,12
103,KON 2037,12
104,KON 2038,12
105,KON 2039,12
106,KON 2040,12
107,KON 2041,12
108,KON 2042,12
109,KON 2043,12
110,KON 2044,12
111,KON 2045,12
112,KON 2046,12
113,KON 2047,12
114,KON 2048,12
115,KON 2049,12
116,KON 2050,12
117,KON 2051,12
118,KON 2052,6
119,KON 2053,6
120,KON 2054,6
